DATE,CSUSHPISA,CURRCIR,M2SL,CPIAUCSL,INDPRO,PCE,DSPIC96,TTLHHM156N,TOTALSL,DPSACBW027SBOG,GDPr,MORTGAGE30US,REAINTRATREARAT10Y,UNRATE,CIVPART,SPREAD,PSAVERT,MICH,MSACSR,CPIAUCSL_1,CPIAUCSL_2,CPIAUCSL_3,DSPIC96_1,DSPIC96_2,DSPIC96_3,SPREAD_1,SPREAD_2,SPREAD_3,MORTGAGE30US_1,MORTGAGE30US_2,MORTGAGE30US_3,UNRATE_1,UNRATE_2,UNRATE_3
1996-01-01,1.7342864467566166,4.383556553544743,4.3562480601144316,2.7524673390090015,1.82178609374688,4.720658278410106,2.2754235449276905,0.5252029006806325,13.226026263364954,5.304489824335956,1.9824558263712433,-2.12,-1.5966982499999998,0.0,-0.3999999999999915,0.09000000000000075,6.5,2.8,9.40170940170939,2.500130220541763,2.570157946143059,2.707329432853456,2.4643590030603235,2.7849216600909443,2.510468523038689,0.11000000000000032,0.1299999999999999,0.28000000000000025,-1.9999999999999991,-1.79,-1.4499999999999993,0.09999999999999964,0.0,-0.2999999999999998
1996-02-01,1.7553164214805683,4.0556954480600815,4.808174728767334,2.6807751145443426,3.381544085268473,5.650767944950275,2.844854762023452,0.7647398930060945,13.269451524245124,5.0281979585886205,2.867137037231693,-1.75,-1.45713801,0.09999999999999964,-0.20000000000000284,0.5899999999999999,6.6,2.8,3.1724137931034457,2.7524673390090015,2.500130220541763,2.570157946143059,2.2754235449276905,2.4643590030603235,2.7849216600909443,0.09000000000000075,0.11000000000000032,0.1299999999999999,-2.12,-1.9999999999999991,-1.79,0.0,0.09999999999999964,0.0
1996-03-01,1.9596064209582487,3.8740378110359686,5.456912376251566,2.8042267873855664,3.0816757833602715,5.725961730847118,2.8898205406676425,0.8075467745223719,12.536335173812763,5.379929687254847,2.87179028191229,-0.8400000000000007,-0.82369197,0.09999999999999964,-0.10000000000000853,0.96,6.4,2.9,-0.402684563758382,2.6807751145443426,2.7524673390090015,2.500130220541763,2.844854762023452,2.2754235449276905,2.4643590030603235,0.5899999999999999,0.09000000000000075,0.11000000000000032,-1.75,-2.12,-1.9999999999999991,0.09999999999999964,0.0,0.09999999999999964
1996-04-01,2.158507172730939,3.298242517984562,5.517663380136462,2.7932962559856556,4.269544491004584,6.296270246036073,3.0266480580738886,1.079938101633715,12.351202067152833,5.733429566317394,4.509911219130558,-0.39000000000000057,-0.5465928800000004,-0.20000000000000018,-0.20000000000000284,1.29,5.5,3.0,-3.289473684210531,2.8042267873855664,2.6807751145443426,2.7524673390090015,2.8898205406676425,2.844854762023452,2.2754235449276905,0.96,0.5899999999999999,0.09000000000000075,-0.8400000000000007,-1.75,-2.12,0.09999999999999964,0.09999999999999964,0.0
1996-05-01,2.33425982319595,2.7352405275306246,5.127059394262012,2.7878628845964037,4.5252730193189095,5.72575127159336,3.2751804346005997,1.137358783268283,11.900869578253026,5.590482986607004,3.8923737244976664,0.11000000000000032,-0.11545492999999984,0.0,0.20000000000000284,1.5,6.5,3.1,-5.064935064935073,2.7932962559856556,2.8042267873855664,2.6807751145443426,3.0266480580738886,2.8898205406676425,2.844854762023452,1.29,0.96,0.5899999999999999,-0.39000000000000057,-0.8400000000000007,-1.75,-0.20000000000000018,0.09999999999999964,0.09999999999999964
1996-06-01,2.4069257032832247,3.4006501733238714,4.775778925989904,2.782450610942888,4.942383969768471,4.944527947163202,3.5743636380919597,1.2150866071891642,11.603584003505762,5.097480040002367,3.3870921957426248,0.75,0.5893674199999999,-0.2999999999999998,0.20000000000000284,1.6400000000000006,6.9,2.9,-4.308093994778062,2.7878628845964037,2.7932962559856556,2.8042267873855664,3.2751804346005997,3.0266480580738886,2.8898205406676425,1.5,1.29,0.96,0.11000000000000032,-0.39000000000000057,-0.8400000000000007,0.0,-0.20000000000000018,0.09999999999999964
1996-07-01,2.43137457593372,3.9978679821367713,4.647287043595227,2.8425686497951297,5.354044188834806,5.512983514613978,3.0810888474603004,1.2364441351403244,11.732372518656664,4.505670559873298,4.270204259777977,0.6399999999999997,0.4312303900000001,-0.20000000000000018,0.30000000000001137,1.4699999999999998,6.5,3.0,-3.2938076416337503,2.782450610942888,2.7878628845964037,2.7932962559856556,3.5743636380919597,3.2751804346005997,3.0266480580738886,1.6400000000000006,1.5,1.29,0.75,0.11000000000000032,-0.39000000000000057,-0.2999999999999998,0.0,-0.20000000000000018
1996-08-01,2.4069957865376246,4.554450006511246,4.228094644987657,2.7734767060089816,4.5598191201786875,5.248132833133923,3.2624443750153276,1.160292837630017,11.345053102115266,4.516203103762972,4.0083621508003375,0.13999999999999968,0.18092693999999998,-0.6000000000000005,0.10000000000000853,1.42,6.4,3.1,-4.7430830039525755,2.8425686497951297,2.782450610942888,2.7878628845964037,3.0810888474603004,3.5743636380919597,3.2751804346005997,1.4699999999999998,1.6400000000000006,1.5,0.6399999999999997,0.75,0.11000000000000032,-0.20000000000000018,-0.2999999999999998,0.0
1996-09-01,2.3688084627251804,4.9320696477595405,4.11450871523904,2.9603191305354493,4.7967930199228626,5.353557493153893,3.1673036036732327,1.3228482931044283,10.185895435288739,4.8883715940577055,3.6426708293211263,0.5900000000000007,0.5032235299999996,-0.39999999999999947,0.30000000000001137,1.5300000000000002,6.4,3.2,-6.5616797900262425,2.7734767060089816,2.8425686497951297,2.782450610942888,3.2624443750153276,3.0810888474603004,3.5743636380919597,1.42,1.4699999999999998,1.6400000000000006,0.13999999999999968,0.6399999999999997,0.75,-0.6000000000000005,-0.20000000000000018,-0.2999999999999998
1996-10-01,2.299035499588342,4.920175150376682,4.316827400322509,3.015948830630233,4.943797895906243,6.085571729802197,3.043721025672319,0.8601542171801313,10.056602865424402,5.601592819226386,4.750222813114391,0.4399999999999995,0.3086200699999999,-0.2999999999999998,0.4000000000000057,1.29,6.1,3.0,-8.3224967490247,2.9603191305354493,2.7734767060089816,2.8425686497951297,3.1673036036732327,3.2624443750153276,3.0810888474603004,1.5300000000000002,1.42,1.4699999999999998,0.5900000000000007,0.13999999999999968,0.6399999999999997,-0.39999999999999947,-0.6000000000000005,-0.20000000000000018
1996-11-01,2.340711451315869,5.4261120819331765,4.726435981482879,3.2012976987813246,5.584295416504226,5.682429503122677,3.039217899751634,0.8863185722448819,9.293516521432021,6.176359052668623,4.775965612495625,0.2400000000000002,0.2574223400000002,-0.1999999999999993,0.5,0.8900000000000006,6.2,3.0,-10.981912144702843,3.015948830630233,2.9603191305354493,2.7734767060089816,3.043721025672319,3.1673036036732327,3.2624443750153276,1.29,1.5300000000000002,1.42,0.4399999999999995,0.5900000000000007,0.13999999999999968,-0.2999999999999998,-0.39999999999999947,-0.6000000000000005
1996-12-01,2.3983066358234773,5.623540927067516,5.07889655544691,3.322989449890734,5.862914986057088,5.367789379499932,3.2370758556497847,0.9356886155678978,9.420845318426885,6.658956080302314,3.458002965328255,0.39999999999999947,0.22878165000000017,-0.1999999999999993,0.5999999999999943,1.0099999999999998,6.1,3.0,-12.564766839378239,3.2012976987813246,3.015948830630233,2.9603191305354493,3.039217899751634,3.043721025672319,3.1673036036732327,0.8900000000000006,1.29,1.5300000000000002,0.2400000000000002,0.4399999999999995,0.5900000000000007,-0.1999999999999993,-0.2999999999999998,-0.39999999999999947
1997-01-01,2.5588135838639836,6.034777813058767,4.991346734649582,2.99290087770947,6.567565323152369,6.201971955216479,3.3791134277656454,0.9505049533300891,8.721183606128413,5.998030346160199,4.237004952884504,0.79,0.6072758299999998,-0.2999999999999998,0.5999999999999943,1.33,5.9,3.0,-14.322916666666663,3.322989449890734,3.2012976987813246,3.015948830630233,3.2370758556497847,3.039217899751634,3.043721025672319,1.0099999999999998,0.8900000000000006,1.29,0.39999999999999947,0.2400000000000002,0.4399999999999995,-0.1999999999999993,-0.1999999999999993,-0.2999999999999998
1997-02-01,2.681112832930488,6.5692990680867425,4.915681744826017,2.987193830171986,6.296423492996439,5.70241917541523,2.878117665876978,1.3924137901156541,8.149603344407197,6.8120475062317,4.80232866432182,0.5700000000000003,0.6155161699999998,-0.2999999999999998,0.30000000000001137,1.2299999999999995,6.0,3.0,-13.101604278074863,2.99290087770947,3.322989449890734,3.2012976987813246,3.3791134277656454,3.2370758556497847,3.039217899751634,1.33,1.0099999999999998,0.8900000000000006,0.79,0.39999999999999947,0.2400000000000002,-0.2999999999999998,-0.1999999999999993,-0.1999999999999993
1997-03-01,2.710101892852901,6.42467387209571,4.619201942980311,2.727730171288556,7.095810825715265,5.28751713175204,3.0223601428900793,1.3037865557807393,7.595481221066613,7.196698665143497,3.625518234177605,0.28000000000000025,0.41126220000000036,-0.2999999999999998,0.5,1.3000000000000007,6.1,2.8,-15.229110512129385,2.987193830171986,2.99290087770947,3.322989449890734,2.878117665876978,3.3791134277656454,3.2370758556497847,1.2299999999999995,1.33,1.0099999999999998,0.5700000000000003,0.79,0.39999999999999947,-0.2999999999999998,-0.2999999999999998,-0.1999999999999993
1997-04-01,2.63658384606682,6.339108505866431,4.735065394705984,2.4051792318521947,6.169301659331516,4.712467150335975,3.693079831279533,1.0458282306917255,7.5950657187051185,7.472914221842064,4.478129176923673,0.21000000000000085,0.44213895000000036,-0.5,0.3999999999999915,1.38,6.2,3.0,-16.19047619047619,2.727730171288556,2.987193830171986,2.99290087770947,3.0223601428900793,2.878117665876978,3.3791134277656454,1.3000000000000007,1.2299999999999995,1.33,0.28000000000000025,0.5700000000000003,0.79,-0.2999999999999998,-0.2999999999999998,-0.2999999999999998
1997-05-01,2.6895669152064094,6.714930659182361,4.727942685825148,2.2131791728697614,6.000415010827265,4.426031272053699,2.8704389535951336,0.9181011809417328,7.093831676133178,7.258354996446581,3.8621936493264286,-0.1299999999999999,0.1319553,-0.6999999999999993,0.3999999999999915,1.21,6.5,2.9,-17.510259917920656,2.4051792318521947,2.727730171288556,2.987193830171986,3.693079831279533,3.0223601428900793,2.878117665876978,1.38,1.3000000000000007,1.2299999999999995,0.21000000000000085,0.28000000000000025,0.5700000000000003,-0.5,-0.2999999999999998,-0.2999999999999998
1997-06-01,2.7743807182644353,6.491695367689143,4.811834687846073,2.208988527228417,5.70695244203181,4.931995393175725,2.595035109276722,0.8828820633612011,6.5977879843538645,8.016707624558705,4.31418221197184,-0.6299999999999999,-0.21497196999999968,-0.2999999999999998,0.3999999999999915,0.9300000000000006,6.3,2.8,-19.918144611186904,2.2131791728697614,2.4051792318521947,2.727730171288556,2.8704389535951336,3.693079831279533,3.0223601428900793,1.21,1.38,1.3000000000000007,-0.1299999999999999,0.21000000000000085,0.28000000000000025,-0.6999999999999993,-0.5,-0.2999999999999998
